도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강촌공원작은도서관,경기도,고양시,작은도서관,월+일+둘째 주 화+법정공휴일,10:00,19:00,10:00,19:00,00:00,00:00,0,5025,4,0,5,14,경기도 고양시 일산동구 강석로 132-1(마두동),책과도서관,031-901-6957,21,21,https://band.us/@kangchonlib,37.653332,126.781081,2022-03-31,3940000,경기도 고양시
고양윤창작은도서관,경기도,고양시,작은도서관,일+첫째 주 월+첫째 주 토+셋째 주 토+다섯째 주 토+법정공휴일,09:30,17:30,09:30,14:00,00:00,00:00,0,13261,10,0,5,14,"경기도 고양시 덕양구 동헌로 398-17(고양동, 윤창아파트)",경기도 고양시 고양동 윤창아파트 입주자대표회의,031-967-9633,110,110,https://cafe.naver.com/yclibrary,37.705803,126.894709,2022-03-31,3940000,경기도 고양시
고양작은도서관,경기도,고양시,작은도서관,둘째 주 월+일+법정공휴일,09:00,18:00,10:00,18:00,00:00,00:00,0,26320,38,55,5,14,경기도 고양시 덕양구 혜음로 19-11(고양동),경기도 고양시 고양동 주민자치위원회,031-963-4321,172,172,https://cafe.naver.com/gylibrary,37.702518,126.901195,2022-03-31,3940000,경기도 고양시
관산작은도서관,경기도,고양시,작은도서관,셋째 주 월+토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,27984,9,0,5,14,경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 관산동 주민자치위원회,031-962-1969,198,198,https://cafe.daum.net/glibrary,37.688013,126.862536,2022-03-31,3940000,경기도 고양시
내유작은도서관,경기도,고양시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,8903,0,0,5,14,경기도 고양시 덕양구 유산길 96(내유동),내유동복합커뮤니티,070-4422-2580,145,145,https://band.us/@naeyu,37.73129325,126.8483937,2022-03-31,3940000,경기도 고양시
대덕작은도서관,경기도,고양시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,11888,7,150,5,14,경기도 고양시 덕양구 덕은로 34(덕은동),경기도 고양시 대덕동 주민자치위원회,02-3159-8501,118,118,https://blog.naver.com/tjftjftjf011,37.587101,126.876666,2022-03-31,3940000,경기도 고양시
대화도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,190,144652,142,2095,7,14,경기도 고양시 일산서구 일산로 689(대화동),경기도 고양시청,031-8075-9130,3944,788,https://www.goyanglib.or.kr/MJ/index.do,37.68102176,126.753942,2022-03-31,3940000,경기도 고양시
대화마을작은도서관,경기도,고양시,작은도서관,법정공휴일,09:00,18:00,10:00,18:00,00:00,00:00,0,19621,9,0,5,14,"경기도 고양시 일산서구 대화1로 61(대화동, 대화마을5단지아파트)",킨텍스휴먼빌아파트 입주자대표,031-924-0467,99,99,,37.672884,126.735397,2022-03-31,3940000,경기도 고양시
덕이도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,168,87379,119,1649,7,14,경기도 고양시 일산서구 하이파크로 128(덕이동),경기도 고양시청,031-8075-9320,45821.6,2956.88,https://www.goyanglib.or.kr/MN/index.do,37.702949,126.754554,2022-03-31,3940000,경기도 고양시
마두도서관,경기도,고양시,공공도서관,두 번째 월+네 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,0,163164,119,3511,7,14,경기도 고양시 일산동구 일산로 355(마두동),경기도 고양시청,031-8075-9067,36029.3,3756.7,https://www.goyanglib.or.kr/MA/index.do,37.666716,126.782057,2022-03-31,3940000,경기도 고양시
